SMILES,HOMO,LUMO,RedoxPotential,Inchi-Key
Clc1c(Cl)cc2c(c1Cl)C1c3c4C2c2cc(Cl)c(c(c2C2c4c4c5c3C(c3c1c(Cl)c(c(c3Cl)Cl)Cl)c1c(C5c3c(C4c4c2c(Cl)c(c(c4Cl)Cl)Cl)c(Cl)c(c(c3)Cl)Cl)cc(c(c1Cl)Cl)Cl)Cl)Cl,-6.4627075,-3.05175851,,GHQ
Clc1ccc2c(c1)c1c3c4c2c2ccc(cc2c2c4c4c5c3c(c3c1cccc3)c1c(c5c3c(c4c4c2cccc4)cc(cc3)Cl)ccc(c1)Cl)Cl,-5.938615936,-2.301812326,1.07,OGK
Clc1cc2c3c4c5c(c2c(c1Cl)Cl)c1ccccc1c1c5c2c5c4c(c4c3cc(Cl)c(c4Cl)Cl)c3c(c5c4c(c2c2c1c(Cl)c(Cl)c(c2)Cl)cc(c(c4Cl)Cl)Cl)cccc3,-6.20828091,-2.669710454,,QUP
Clc1cc(Cl)c2c(c1)c1c3c4c2c2c(Cl)c(Cl)c(c(c2c2c4c4c5c3c(c3c1cc(Cl)cc3Cl)c1c(Cl)c(Cl)c(c(c1c5c1c(c4c3c2c(Cl)cc(c3)Cl)cc(cc1Cl)Cl)Cl)Cl)Cl)Cl,-6.361208978,-2.936382174,-4.38,ZAP
Fc1cc(F)c2c(c1)c1c3c4c2c2ccccc2c2c4c4c5c3c(c3c1cc(F)cc3F)c1c(c5c3c(c4c4c2c(F)cc(c4)F)cc(cc3F)F)cccc1,-6.030318354,-2.483856592,1.16,FBA_8F
Fc1c(F)c(F)c2c(c1F)c1c3c4c2c2ccccc2c2c4c4c5c3c(c3c1cccc3)c1ccccc1c5c1c(c4c3c2cccc3)c(F)c(c(c1F)F)F,-6.053992272,-2.410113698,,GNA_8F
Clc1c(Cl)c(Cl)c2c(c1Cl)c1c3c4c2c2ccccc2c2c4c4c5c3c(c3c1cccc3)c1ccccc1c5c1c(c4c3c2cccc3)c(Cl)c(c(c1Cl)Cl)Cl,-6.057801868,-2.581273404,1.84,NDO
Clc1ccc2c(c1)C1C3=C4C5C6=C7C3C2c2ccc(cc2C7c2c(C6c3c(C5c5c(C4c4c1c(Cl)c(c(c4Cl)Cl)Cl)cc(cc5)Cl)ccc(c3)Cl)c(Cl)c(c(c2Cl)Cl)Cl)Cl,-6.179436826,-2.75515425,,IFN
Fc1ccc2c(c1)C1C3=C4C2c2ccc(cc2C2C4C4=C5C3C(c3c1c(F)c(c(c3F)F)F)c1c(C5c3c(C4c4c2c(F)c(c(c4F)F)F)cc(cc3)F)ccc(c1)F)F,-6.133177446,-2.583994544,-4.39,QIJ_12F
Fc1ccc2c(c1)c1c3c4c2c2ccc(cc2c2c4c4c5c3c(c3c1c(Cl)c(Cl)c(c3Cl)Cl)c1c(c5c3c(c4c4c2c(Cl)c(Cl)c(c4Cl)Cl)cc(cc3)F)ccc(c1)F)F,-6.08038733,-2.773658002,,BCS
Fc1ccc2c(c1)c1c3c4c2c2ccc(cc2c2c4c4c5c3c(c3c1cccc3)c1c(c5c3c(c4c4c2cccc4)cc(cc3)F)ccc(c1)F)F,-5.881199882,-2.265621164,1.89,RCF
Fc1cc(F)c2c(c1)c1c3c4c2c2c(F)c(F)c(c(c2c2c4c4c5c3c(c3c1cc(F)cc3F)c1c(F)c(F)c(c(c1c5c1c(c4c3c2c(F)cc(c3)F)cc(cc1F)F)F)F)F)F,-6.26134314,-2.74699083,,YIG_16F
Fc1cc2c3c4c5c(c2c(c1F)F)c1c(F)c(F)c(c(c1c1c5c2c5c4c(c4c3cc(F)c(c4F)F)c3c(c5c4c(c2c2c1c(F)c(c(c2)F)F)cc(c(c4F)F)F)c(F)c(c(c3F)F)F)F)F,-6.41236641,-2.794066552,-4.41,WLE_20F
Clc1cc(Cl)c2c(c1)c1c3c4c2c2ccccc2c2c4c4c5c3c(c3c1cc(Cl)cc3Cl)c1c(c5c3c(c4c4c2c(Cl)cc(c4)Cl)cc(cc3Cl)Cl)cccc1,-6.071679682,-2.596511788,1.2,JUN
FC(c1ccc(cc1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29566,-0.09910,2.77,ODFPAXZPIBZLOA-UHFFFAOYSA-N
[O-][N+](=O)C1=CC=C(C1)[C@@]1(N=N1)[N+](=O)[O-],-0.27571,-0.12330,2.58,ZMIIJKOYOYHKOC-UHFFFAOYSA-N
OC#C[C@]1(O)N=N1,-0.26704,-0.08253,2.14,PTDQXCQKCYDWCN-UHFFFAOYSA-N
C/C=C\[C@]1(C)N=N1,-0.24950,-0.06870,1.79,CZZVLCYAKCFYJY-UHFFFAOYSA-N
FC(C1(N=N1)C(F)(F)F)(F)F,-0.35470,-0.11639,4.84,DEZQSMQOKKCBPQ-UHFFFAOYSA-N
Sc1nnc(nn1)[C@]1(S)N=N1,-0.26495,-0.12746,2.45,FDUFHUXDVCUIQP-UHFFFAOYSA-N
OC1=CC=C(C1)[C@]1(O)N=N1,-0.21529,-0.07829,0.96,FJYNWUAIMJNLAW-UHFFFAOYSA-N
SC#C[C@]1(S)N=N1,-0.25798,-0.09121,2.02,PUKRSFISJKNLPG-UHFFFAOYSA-N
C=C[C@@H]1N=N1,-0.26290,-0.07841,2.25,OZSJDRWCCCFCAT-UHFFFAOYSA-N
Oc1ccc(cc1)[C@]1(O)N=N1,-0.24252,-0.08073,1.69,NZROCRUBYJFUFL-UHFFFAOYSA-N
N#CC#C[C@]1(C#N)N=N1,-0.31233,-0.11863,3.63,BXNYECZHWNLIPS-UHFFFAOYSA-N
Cn1c(C)ccc1[C@]1(C)N=N1,-0.22322,-0.07228,0.97,DZTQQVNYOFZVEO-UHFFFAOYSA-N
[O-][N+](=O)c1ccc(cc1)[C@@]1(N=N1)[N+](=O)[O-],-0.30399,-0.11743,3.24,GDQJTIYZEDMXDL-UHFFFAOYSA-N
Clc1ccc(o1)[C@]1(Cl)N=N1,-0.25026,-0.09782,1.89,DCLWZIFAWXLQTP-UHFFFAOYSA-N
N1=NC1,-0.30009,-0.07232,3.38,GKVDXUXIAHWQIK-UHFFFAOYSA-N
[O-][N+](=O)c1ccc(s1)[C@@]1(N=N1)[N+](=O)[O-],-0.28858,-0.12624,2.85,QRWYOWPZJRRWPK-UHFFFAOYSA-N
Cc1nnc(nn1)[C@]1(C)N=N1,-0.26303,-0.11760,2.19,AFVPQFMVEBIYAA-UHFFFAOYSA-N
c1csc(c1)[C@@H]1N=N1,-0.24545,-0.07827,1.72,NCDMQYQHPCGCCS-UHFFFAOYSA-N
FC(c1cnc(s1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.28957,-0.10638,2.91,AISBPSZFKSOVKQ-UHFFFAOYSA-N
FC(Oc1coc(n1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.28042,-0.11029,2.53,RWHANBNXQPOEOY-UHFFFAOYSA-N
O=Cn1c(ccc1[C@@]1(N=N1)C(F)(F)F)C(F)(F)F,-0.28453,-0.09879,2.63,XYYZHXPUWJXTKW-UHFFFAOYSA-N
CC1(C)N=N1,-0.27436,-0.06871,2.43,JYSCQQRNTHDPBR-UHFFFAOYSA-N
FC(C1=CC=C(C1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.25868,-0.10082,2.15,LOROPOOJTNUHGV-UHFFFAOYSA-N
FC(c1coc(n1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29427,-0.10952,3.05,TXURIWKAZPDNHA-UHFFFAOYSA-N
CC1=CC=C(S1(=O)=O)[C@]1(C)N=N1,-0.25890,-0.09259,2.05,ADNOQZQZUQQVRY-UHFFFAOYSA-N
Oc1ccc(nc1)[C@]1(O)N=N1,-0.25191,-0.08395,1.94,DQKWAGPBERJFRU-UHFFFAOYSA-N
Cc1ccc(s1)[C@]1(C)N=N1,-0.23532,-0.07411,1.44,UKMWUDVPYPXHRQ-UHFFFAOYSA-N
SC1=CC=C(C1)[C@]1(S)N=N1,-0.21586,-0.07999,0.96,IXMJJGOHQIPNAT-UHFFFAOYSA-N
n1cc([nH]c1)[C@@H]1N=N1,-0.24433,-0.08256,1.74,KZTJCLUFCQOUOV-UHFFFAOYSA-N
FC(Oc1cnc(s1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.28096,-0.10963,2.47,MXOIRLYYIXXIBC-UHFFFAOYSA-N
N#Cc1c[nH]c(c1)[C@]1(C#N)N=N1,-0.25917,-0.10448,2.13,PSYLCHYIOWELFL-UHFFFAOYSA-N
[O-][N+](=O)C1=CC=C(S1(=O)=O)[C@@]1(N=N1)[N+](=O)[O-],-0.30952,-0.15378,3.44,SWOHDZXFUIXZDU-UHFFFAOYSA-N
Cc1c[nH]c(c1)[C@]1(C)N=N1,-0.22213,-0.07534,1.13,PNTHJSBCHUYZLS-UHFFFAOYSA-N
C#C[C@@H]1N=N1,-0.28074,-0.08373,2.79,IMTSNTVBEFDMAF-UHFFFAOYSA-N
N#Cc1cnc(s1)[C@]1(C#N)N=N1,-0.28703,-0.11259,2.87,JZZPTNJUHQKSIU-UHFFFAOYSA-N
Cc1csc(n1)[C@]1(C)N=N1,-0.25126,-0.08355,1.83,UKUWUJSFPMRTPY-UHFFFAOYSA-N
FC(c1c[nH]c(c1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.25701,-0.09945,2.08,FIGWLDVQDYKAQQ-UHFFFAOYSA-N
Fc1cnc(nc1)[C@]1(F)N=N1,-0.29313,-0.09930,3.07,MYZXZTIAXGTQLV-UHFFFAOYSA-N
[O-][N+](=O)c1cnc(o1)[C@@]1(N=N1)[N+](=O)[O-],-0.31628,-0.13111,3.51,LNABAYXQLRGOHY-UHFFFAOYSA-N
Cc1ncc([nH]1)[C@]1(C)N=N1,-0.23574,-0.07932,1.54,VFKZMYNQAAXEPG-UHFFFAOYSA-N
Sc1ccc(s1)[C@]1(S)N=N1,-0.24729,-0.08799,1.36,FJWIDGCCELYQDY-UHFFFAOYSA-N
N#CC1(C#N)N=N1,-0.33722,-0.12339,4.32,DNHXBHFLXMJCSS-UHFFFAOYSA-N
Oc1coc(n1)[C@]1(O)N=N1,-0.25231,-0.09203,1.93,MXLHCQJJQHKRNB-UHFFFAOYSA-N
O/N=C/[C@]1(O)N=N1,-0.27162,-0.09045,2.44,XZUJYXLHLMOXGB-UHFFFAOYSA-N
[O-][N+](=O)c1c[nH]c(c1)[C@@]1(N=N1)[N+](=O)[O-],-0.27182,-0.11740,2.39,FQJIWCXSMRUOBB-UHFFFAOYSA-N
FC(OC1=CC=C(S1(=O)=O)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.27939,-0.11766,2.6,WIVZPEAHEMKIFC-UHFFFAOYSA-N
N#C/N=C/[C@]1(C#N)N=N1,-0.32247,-0.11870,3.79,YSPNHIGDZKPKML-UHFFFAOYSA-N
Fc1ccc(o1)[C@]1(F)N=N1,-0.25336,-0.09853,2.02,BZBSDVNUGKYWLX-UHFFFAOYSA-N
O=Cn1c(Cl)ccc1[C@]1(Cl)N=N1,-0.25900,-0.09563,1.99,RHYLKSVDQIMAEY-UHFFFAOYSA-N
Clc1cnc(s1)[C@]1(Cl)N=N1,-0.26594,-0.09955,2.27,KNLLDXZTDYDKJX-UHFFFAOYSA-N
F/C=C\[C@]1(F)N=N1,-0.27724,-0.09663,2.65,RISCEDDTHRBLGC-UHFFFAOYSA-N
Clc1cnc(o1)[C@]1(Cl)N=N1,-0.26742,-0.10205,2.35,WBVXYFYRGLTZKS-UHFFFAOYSA-N
[O-][N+](=O)c1cnc(s1)[C@@]1(N=N1)[N+](=O)[O-],-0.30275,-0.12996,3.25,KZUSOYJKLMOYIU-UHFFFAOYSA-N
Clc1ccc(s1)[C@]1(Cl)N=N1,-0.25242,-0.09676,1.91,ONPGEIUMHHZZCE-UHFFFAOYSA-N
O=Cn1c(F)ccc1[C@]1(F)N=N1,-0.26362,-0.09563,2.05,HRXWXWRBQHFEGV-UHFFFAOYSA-N
Fc1c[nH]c(c1)[C@]1(F)N=N1,-0.24309,-0.09599,1.7,IWVXIWKJGKSKOI-UHFFFAOYSA-N
FC(c1ccc(s1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.27468,-0.10556,2.56,LCACDFZXNYCPLI-UHFFFAOYSA-N
FC(c1nnc(nn1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29281,-0.14358,3.11,VGRNIPXRSAUBAG-UHFFFAOYSA-N
FC#C[C@]1(F)N=N1,-0.29336,-0.10045,3.13,QKYLSUBBLFIOOP-UHFFFAOYSA-N
S/C=C/[C@]1(S)N=N1,-0.24905,-0.08587,1.81,CAFKTMYBPSXEGJ-UHFFFAOYSA-N
FC(OC1=CC=C(C1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.24228,-0.09439,1.61,HAFABZVPDVGUEG-UHFFFAOYSA-N
[O-][N+](=O)c1ccc([nH]1)[C@@]1(N=N1)[N+](=O)[O-],-0.27630,-0.12320,2.56,XEMSEOUSOFZWHP-UHFFFAOYSA-N
N1=N[C@@H]1c1nncnn1,-0.27131,-0.12303,2.4,MRVDIWCRWWNSIW-UHFFFAOYSA-N
Cn1c(O)ccc1[C@]1(O)N=N1,-0.21799,-0.07834,0.86,AJYDRTUPDXCAEO-UHFFFAOYSA-N
c1ccc(nc1)[C@@H]1N=N1,-0.26809,-0.08307,2.38,BESIOADPVLCNLJ-UHFFFAOYSA-N
FC(c1ccc(o1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.27291,-0.10517,2.53,JOLFDAPIXAOLBO-UHFFFAOYSA-N
C1=CC=C(C1)[C@@H]1N=N1,-0.22791,-0.07517,1.3,IRLLACSCVLEIRY-UHFFFAOYSA-N
FC(Oc1ccc(cc1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.27863,-0.10116,2.42,FQGZIJRZZHHLSR-UHFFFAOYSA-N
N#Cc1ccc(o1)[C@]1(C#N)N=N1,-0.27183,-0.10985,2.52,HAWOUKVUFDMLAZ-UHFFFAOYSA-N
Fc1cnc(o1)[C@]1(F)N=N1,-0.27390,-0.10446,2.56,SVXOPIFUBPCZBP-UHFFFAOYSA-N
N#CC1=CC=C(S1(=O)=O)[C@]1(C#N)N=N1,-0.29407,-0.13728,3.07,JKSPOQSFDZEWKR-UHFFFAOYSA-N
N#Cc1cnc(nc1)[C@]1(C#N)N=N1,-0.30766,-0.11190,3.47,IVHABPXNRDSPPZ-UHFFFAOYSA-N
Clc1ccc([nH]1)[C@]1(Cl)N=N1,-0.23767,-0.09399,1.52,HHJMACYXOVCELS-UHFFFAOYSA-N
CC1=CC=C(C1)[C@]1(C)N=N1,-0.21864,-0.07158,0.99,PJDRKFLCSCGOHC-UHFFFAOYSA-N
N#CC1=CC=C(C1)[C@]1(C#N)N=N1,-0.25858,-0.10660,2.11,JYZQXRHBUAUYQT-UHFFFAOYSA-N
Clc1ccc(nc1)[C@]1(Cl)N=N1,-0.27358,-0.09417,2.52,OIVCIIIOGKTWCM-UHFFFAOYSA-N
FC(c1cnc(o1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29551,-0.11031,3.12,PWDIGGBJHKNYRL-UHFFFAOYSA-N
Fc1cnc(s1)[C@]1(F)N=N1,-0.27064,-0.10090,2.4,GMTCRTFSEOXKQA-UHFFFAOYSA-N
Sc1cnc(o1)[C@]1(S)N=N1,-0.25912,-0.09430,1.77,FGCAMFSWDLDFOV-UHFFFAOYSA-N
Sc1c[nH]c(c1)[C@]1(S)N=N1,-0.23675,-0.08429,1.15,ULXCQBAOMKNJKG-UHFFFAOYSA-N
N#Cc1cnc(o1)[C@]1(C#N)N=N1,-0.29229,-0.11607,3.04,MPSQKFNIENVJSP-UHFFFAOYSA-N
Sc1ccc([nH]1)[C@]1(S)N=N1,-0.23607,-0.08462,1.06,JNAVYPURJQGPHQ-UHFFFAOYSA-N
c1coc(n1)[C@@H]1N=N1,-0.26371,-0.08695,2.25,NRBURGVTCFDSMW-UHFFFAOYSA-N
Oc1csc(n1)[C@]1(O)N=N1,-0.24574,-0.08852,1.73,AMAZYTRMFZCCHA-UHFFFAOYSA-N
Cc1coc(n1)[C@]1(C)N=N1,-0.25367,-0.08301,1.95,HEMWNHDBVGXLBD-UHFFFAOYSA-N
Fc1nnc(nn1)[C@]1(F)N=N1,-0.29348,-0.14209,3.03,KTOKHRZFCPOKGT-UHFFFAOYSA-N
N#Cc1ccc(nc1)[C@]1(C#N)N=N1,-0.29254,-0.10633,3.03,DWBKTFMANYMNOE-UHFFFAOYSA-N
c1ccc(cc1)[C@@H]1N=N1,-0.25608,-0.07832,2.05,DCXIMRSHMXAVHX-UHFFFAOYSA-N
FC(/N=C\[C@@]1(N=N1)C(F)(F)F)(F)F,-0.33692,-0.10978,,FITMBBCBNRWXHU-UHFFFAOYSA-N
F/N=C/[C@]1(F)N=N1,-0.31553,-0.10645,3.63,HXOHUUAUAWGCPJ-UHFFFAOYSA-N
Sc1cnc(s1)[C@]1(S)N=N1,-0.25579,-0.09446,1.71,YHMJOMCVSOIKEK-UHFFFAOYSA-N
Sc1csc(n1)[C@]1(S)N=N1,-0.24254,-0.09424,1.73,ZIMFFDPFFRNYRT-UHFFFAOYSA-N
N#Cc1nnc(nn1)[C@]1(C#N)N=N1,-0.29712,-0.14725,3.1,MWICKHZZMVWCRX-UHFFFAOYSA-N
CC#C[C@]1(C)N=N1,-0.26120,-0.07684,2.18,ODYMXNQLQHWXCU-UHFFFAOYSA-N
