Key,Smiles,Exp_HOMO,Exp_LUMO,Calc_HOMO,Calc_LUMO,,,,,,,,
M32,CC(S1)=CC=C1C2=CC(C3=C(/C(C4=C5C=C(C6=CC=C(C)S6)C=C4)=C(C#N)/C(OC)=O)C5=C(/C(C7=C8C=C(C9=CC=C(C)S9)C=C7)=C(C(OC)=O)\C#N)C8=C3/%10)=C(C=C2)C%10=C(C#N)/C(OC)=O,-0.235199000404248,-0.150674359633972,-0.2270,-0.1170,,,,,,,,
1,CSC1=C2C(C=C(C=CC=C3)C3=C2)=C(SC)C4=CC5=CC=CC=C5C=C41,-0.18632170813274,-0.119804490830914,-0.182066884679028,-0.107039322311297,,,,,-5.07,-3.26,-4.95422199900104,-2.9126469994127
2,CCC1=CC=CC(CC)=C1C2=C3C(C=C(C=CC=C4)C4=C3)=C(C5=C(CC)C=CC=C5CC)C6=CC7=CC=CC=C7C=C62,-0.184851714380214,-0.10988203300136,-0.175308057933473,-0.0995005407096696,,,,,-5.03,-2.99,-4.77030756442772,-2.70750921325082
3,C[Si](C)(C)C#CC1=C(C=C(C=CC=C2)C2=C3)C3=C(C#C[Si](C)(C)C)C4=CC5=CC=CC=C5C=C41,-0.187791701885267,-0.12568446584102,-0.177545685473747,-0.111040792326633,,,,,-5.11,-3.42,-4.83119564742612,-3.021531
4,CC1=CC=CC(C)=C1C2=C3C(C=C(C(C4=C(C)C=CC=C4C)=C(C=CC=C5)C5=C6C7=C(C)C=CC=C7C)C6=C3)=C(C8=C(C)C=CC=C8C)C9=CC=CC=C92,-0.181911726875161,-0.10767704237257,-0.174063944728235,-0.100036749843813,,,,,-4.95,-2.93,-4.736454,-2.7221
5,CC1=CC=CC(C)=C1C2=C3C(C=C(C=CC=C4)C4=C3)=C(C5=C(C)C=CC=C5C)C6=CC7=CC=CC=C7C=C62,-0.184116717503951,-0.110249531439491,-0.176064679725111,-0.100036749843813,,,,,-5.01,-3,-4.79089599999999,-2.7221
6,CC1=CC2=CC3=C(C4=CC=CC=C4)C5=CC6=CC(C)=C(C)C=C6C=C5C(C7=CC=CC=C7)=C3C=C2C=C1C,-0.178604240931976,-0.109147036125096,-0.167061372239168,-0.0900330748594318,,,,,-4.86,-2.97,-4.545907,-2.44989
7,C12=CC=CC=C1C(C3=CC=CC=C3)=C4C(C=C(C(C5=CC=CC=C5)=C(C=CC=C6)C6=C7C8=CC=CC=C8)C7=C4)=C2C9=CC=CC=C9,-0.181911726875161,-0.112822020506413,-0.172063209731359,-0.0960352798500607,,,,,-4.95,-3.07,-4.682012,-2.613216
8,COC(C=C1)=CC=C1C2=C3C(C=C(C=C(C)S4)C4=C3)=C(C5=CC=C(OC)C=C5)C6=CC7=C(C=C(C)S7)C=C62,-0.184484215942082,-0.0970195876667524,-0.171525160872337,-0.0740271948844217,,,,,-5.02,-2.64,-4.66737115249715,-2.014354
9,COC(C=C1)=CC=C1C2=C3C(C=CC=C3)=C(C4=CC=C(OC)C=C4)C5=CC=CC=C52,-0.204329131601191,-0.0896696189041197,-0.192070559700121,-0.068024989893793,,,,,-5.56,-2.44,-5.226432,-1.851028
10,COC(C=C1)=CC=C1C2=C3C(C=C(C=CC=C4)C4=C3)=C(C5=CC=C(OC)C=C5)C6=CC=CC=C62,-0.1951416706479,-0.1010620704862,-0.180066149718864,-0.084030869868803,,,,,-5.31,-2.75,-4.89978,-2.286564
11,COC(C=C1)=CC=C1C2=C3C(C=C(C=C(C)S4)C4=C3)=C(C5=CC=C(OC)C=C5)C6=CC=CC=C62,-0.19073168939032,-0.0940796001616993,-0.180066149718864,-0.0710260923891073,,,,,-5.19,-2.56,-4.89978,-1.932691
12,COC(C=C1)=CC=C1C2=C3C(C=C(C=C(C)S4)C4=C3)=C(C5=CC=C(OC)C=C5)C6=CC7=C(C=CC=C7)C=C62,-0.183014222189556,-0.101429568924332,-0.171062842232921,-0.0959862521646361,,,,,-4.98,-2.76,-4.654791,-2.61188190765191
